id,name,latitude,longitude
cave_id_498740308,Bus del nono,45.7821944,10.9926165
cave_id_508788420,Prigione del Sasso,45.9214156,10.888087
cave_id_600025838,Grotta Damiano Chiesa,45.8534376,11.0362043
cave_id_610991691,Unnamed,45.8819343,10.8845066
cave_id_641260808,Miniera dell'Aubis,46.1119712,11.3132041
cave_id_655124296,Unnamed,45.8353502,10.806087
cave_id_655124306,Unnamed,45.8362577,10.8087547
cave_id_750561172,gallerie di Peschiera,45.9624455,10.6465248
cave_id_794180822,Unnamed,45.8057845,10.8834992
cave_id_794180830,Busa Brodeghera;sepoltura della Seconda età del Ferro,45.8071678,10.884618
cave_id_831805714,Unnamed,45.7898636,10.9985791
cave_id_974698899,Cave Alte,45.9342851,10.9067835
cave_id_974698929,Cave Alte,45.9346702,10.9066705
cave_id_1106604484,La Cosìna,46.0095554,10.9755049
cave_id_1212312727,Unnamed,45.7980935,11.0025599
cave_id_1212312729,Unnamed,45.7989486,11.003127
cave_id_1347347828,Grotta degli appestati,45.8720637,10.965678
cave_id_1398202075,Osservatorio di guerra austrungarico,46.1834487,10.6473776
cave_id_1411507619,Finestra Valduga,45.8763655,11.135236
cave_id_1412623162,Maso Mortal,45.8843458,11.0770216
cave_id_1412623163,Pozzo Maso Mortal,45.8847151,11.0786075
cave_id_1551514534,Arca di Fraporte,46.0720053,10.8451173
cave_id_1583263213,Unnamed,45.9271146,10.9263258
cave_id_1640524704,Unnamed,45.8886666,11.0679093
cave_id_1640524744,Unnamed,45.8891237,11.0671382
cave_id_1647578077,Unnamed,45.8499905,10.9235374
cave_id_1836348421,Unnamed,46.4700023,11.8751282
cave_id_1844348279,galleria Corno di Cavento,46.1357658,10.5865048
cave_id_1848848050,Unnamed,46.1248838,11.6667427
cave_id_1887528050,Grotta Battisti,46.0555098,10.838799
cave_id_1997750083,Unnamed,45.8721961,10.9809583
cave_id_2066685144,Unnamed,45.7921493,10.9075451
cave_id_2066685163,Unnamed,45.7929695,10.9071326
cave_id_2073143449,Unnamed,46.3083403,11.7966189
cave_id_2203455370,Centrale Idroelettrica di Ala,45.7574082,10.9893626
cave_id_2355971892,Unnamed,45.8124531,11.1223778
cave_id_2371162456,Riparo Dalmeri,45.9951297,11.6016642
cave_id_2378422899,Grotta di Castel Tesino,46.0885855,11.6814614
cave_id_2388250860,Unnamed,46.4752418,11.682067
cave_id_2520320544,Bus de le Zaule,45.9781545,11.3595443
cave_id_2741681966,Abisso di Lamar,46.1300329,11.0643899
cave_id_2836281132,Grotta di Costalta,45.9888791,11.3744918
cave_id_2905502437,Unnamed,46.0611476,11.5477486
cave_id_2905502440,Unnamed,46.0592849,11.5489228
cave_id_2905502441,Unnamed,46.0595428,11.5486038
cave_id_2905502442,Unnamed,46.0595712,11.548697
cave_id_2905502443,Unnamed,46.0608425,11.5473221
cave_id_2956168524,Unnamed,46.1494527,11.8919518
cave_id_3022648106,Grotta del Calgeron,46.0074146,11.6192771
cave_id_3182294964,Bus del Diaol Grotta di Patone,45.9382551,10.9093807
cave_id_3182294965,Unnamed,45.8583563,10.8292033
cave_id_3327559926,Unnamed,46.0410676,11.4531932
cave_id_3327559928,Unnamed,46.0410885,11.4529586
cave_id_3327561525,Unnamed,46.0431729,11.4531422
cave_id_3327562014,Unnamed,46.0419868,11.4530532
cave_id_3366555618,Caverna Rossi,45.8546177,10.9106926
cave_id_3716957296,Unnamed,45.9299054,10.6947843
cave_id_3716957297,Unnamed,45.9303623,10.6954262
cave_id_3716957298,Unnamed,45.93332,10.696543
cave_id_3716957299,Unnamed,45.9347785,10.6974128
cave_id_3716957300,Unnamed,45.9348163,10.6974148
cave_id_3716957301,Unnamed,45.9351976,10.6977644
cave_id_3716957302,Unnamed,45.9386663,10.6984212
cave_id_3716957303,Unnamed,45.939538,10.70183
cave_id_3716957304,Unnamed,45.9414755,10.7027561
cave_id_3716957305,Unnamed,45.9453857,10.7035402
cave_id_3716957306,Unnamed,45.9468727,10.7044655
cave_id_3716957307,Unnamed,45.947261,10.7047206
cave_id_3716957308,Unnamed,45.9475613,10.7048813
cave_id_3716957309,Unnamed,45.9502052,10.7077096
cave_id_3716957310,Unnamed,45.9506941,10.7086397
cave_id_3716957311,Unnamed,45.9536744,10.7103752
cave_id_3716957312,Unnamed,45.9548559,10.7122514
cave_id_3716957313,Unnamed,45.9549439,10.7171578
cave_id_3716957314,Unnamed,45.9549753,10.7172562
cave_id_3716957315,Unnamed,45.9549969,10.7174209
cave_id_3716957316,Unnamed,45.9638755,10.7299942
cave_id_3716957317,Unnamed,45.9671799,10.7430947
cave_id_3740433897,Unnamed,45.8084956,11.1209519
cave_id_3740433898,Unnamed,45.808497,11.1210464
cave_id_3740433903,Unnamed,45.8086677,11.1211756
cave_id_3740433906,Unnamed,45.8087175,11.1212837
cave_id_3740434412,Unnamed,45.8093725,11.1215683
cave_id_3740434692,Bocca del Leone,45.8119117,11.1227881
cave_id_3740434705,Unnamed,45.8123667,11.1223973
cave_id_3787532446,Giazera Stenone,45.8866042,10.9617267
cave_id_3787532447,Giazera bassa,45.8882549,10.9620671
cave_id_3802666300,Unnamed,45.8763618,10.5969231
cave_id_3802666320,Unnamed,45.8766867,10.5971526
cave_id_3813729311,Unnamed,45.8964851,10.720249
cave_id_3813729315,Unnamed,45.8965547,10.720101
cave_id_3814275357,Unnamed,46.3101271,11.7960306
cave_id_3901176788,Unnamed,46.0528341,11.5474673
cave_id_3924221266,Unnamed,45.8902113,11.0616321
